feature_name,max_value,min_value
id_invicrot1_thk_mtg_rn_leftdeep_cit168,1.4864615,0.4634398
id_invicrot1_vol_deepgraytissues,58961.316,21901.64
id_invicrot1_vol_right_pericalcarinedktregions,3789.9883,127.00011
id_invicrot1_area_left_parahippocampaldktregions,2347.5112,963.85077
id_invicrot1_area_right_parahippocampalmtl,2582.4573,55.59919
id_invicrot1_vol_right_lateral_ventricledktregions,55168.0,2103.0017
id_invicrot1_thk_right_posterior_cingulatedktregions,1.6765585,0.86154926
id_invicrot1_thk_right_superior_parietaldktregions,1.4498858,0.97314614
id_invicrot1_vol_mtg_sn_snc_leftcit168,237.00122,55.0
id_invicrot1_vol_mtg_sn_snr_rightcit168,457.99948,137.00038
id_invicrot1_area_right_superior_parietaldktregions,13773.833,5124.672
id_invicrot1_area_left_inferior_parietaldktcortex,14859.063,4167.0244
id_invicrot1_thk_mtg_sn_snr_rightdeep_cit168,1.5828184,0.5186622
id_invicrot1_vol_right_transverse_temporaldktregions,2051.997,253.0
id_invicrot1_randbasisproj08,492.62372,-593.6985
id_invicrot1_area_referenceregion_rightcit168,391.0004,134.4144
id_invicrot1_thk_left_pars_orbitalisdktcortex,1.4395291,0.48969507
id_invicrot1_thk_left_rostral_anterior_cingulatedktcortex,1.87969,0.6684834
id_invicrot1_vol_left_hippocampushipplr,4890.0264,246.30867
id_invicrot1_vol_left_cerebellem_exteriordktregions,96359.61,23942.4
id_invicrot1_thk_left_cerebellum_white_matterdktregions,3.9691155,1.3251249
id_invicrot1_vol_bn_str_nac_leftcit168,1296.9948,172.96875
id_invicrot1_vol_mtg_rn_leftcit168,446.99973,104.000015
id_invicrot1_thk_cerebellar_vermal_lobules_vi_viidktregions,2.528858,0.3006846
id_invicrot1_vol_left_inferior_parietaldktregions,22896.984,5145.0
id_invicrot1_vol_left_subiculummtl,1329.0071,3.0
id_invicrot1_thk_right_amygdaladktregions,1.7431215,0.6823716
id_invicrot1_thk_right_posterior_cingulatedktcortex,1.6169431,0.6493395
id_invicrot1_vol_right_pericalcarinedktcortex,3635.9888,126.99969
id_invicrot1_thk_right_precuneusdktcortex,1.5725542,0.59868956
id_invicrot1_thk_mtg_sn_snr_leftsnseg,1.0493958,0.6007271
id_invicrot1_thk_left_superior_parietaldktregions,1.5280088,0.9578667
id_invicrot1_thk_right_fusiformdktregions,1.7974927,0.82641995
id_invicrot1_area_temporal_rdktlobes,35158.78,15580.831
id_invicrot1_vol_right_middle_temporaldktregions,24803.936,6936.68
id_invicrot1_wmh_vol,99060.19,0.9999947
id_invicrot1_area_left_rostral_anterior_cingulatedktregions,4996.3237,938.6105
id_invicrot1_thk_left_pericalcarinedktregions,1.6321621,0.72568196
id_invicrot1_vol_right_parahippocampaldktcortex,3804.0137,432.4219
id_invicrot1_area_frontal_ldktlobes,60144.242,25819.605
id_invicrot1_vol_left_entorhinaldktregions,4599.9883,201.00104
id_invicrot1_area_exa_leftcit168,429.75415,169.62814
id_invicrot1_area_mtg_sn_snc_rightdeep_cit168,44154.492,37.44276
id_invicrot1_thk_brainstemtissues,5.0817237,1.2785838
id_invicrot1_randbasisproj02,450.37775,-281.06723
id_invicrot1_area_right_paracentraldktcortex,6435.6177,1601.6704
id_invicrot1_vol_left_entorhinaldktcortex,5162.9873,344.00177
id_invicrot1_vol_right_inferior_parietaldktregions,25843.037,6534.3755
id_invicrot1_vol_mtg_vtr_pbp_leftcit168,202.99994,44.0
id_invicrot1_area_nbm_left_antbf,429.4058,123.84777
id_invicrot1_thk_bn_str_pu_rightdeep_cit168,2.9324484,0.8133747
id_invicrot1_area_temporal_ldktlobes,41878.305,16042.316
id_invicrot1_thk_nbm_left_posbf,1.1556963,0.37719333
id_invicrot1_area_right_middle_temporaldktregions,13933.291,2311.0618
id_invicrot1_thk_left_parahippocampaldktcortex,1.6101902,0.63750553
id_invicrot1_thk_uncinate_rwmtracts_right,1.4403666,0.9075375
id_invicrot1_thk_left_dg_ca3mtl,1.1939212,0.34017462
id_invicrot1_thk_right_postcentraldktregions,1.3847396,0.93998265
id_invicrot1_area_left_middle_temporaldktregions,13578.823,4488.281
id_invicrot1_thk_left_supramarginaldktregions,2.0393703,1.2178893
id_invicrot1_thk_mtg_sn_snc_rightcit168,0.90545464,0.441208
id_invicrot1_area_left_paracentraldktcortex,6577.63,1073.651
id_invicrot1_area_left_precuneusdktcortex,13185.49,4008.2534
id_invicrot1_thk_right_superior_frontaldktcortex,1.9856213,0.54628366
id_invicrot1_thk_left_caudatedktregions,3.1606202,1.3043286
id_invicrot1_thk_deepgraytissues,3.0574017,1.5749067
id_invicrot1_area_right_alecmtl,1236.8665,53.409847
id_invicrot1_brainvolume,2430520.0,0.0
id_invicrot1_vol_left_postcentraldktregions,18580.07,6785.86
id_invicrot1_area_left_superior_frontaldktregions,21717.604,8934.65
id_invicrot1_area_left_lateral_orbitofrontaldktregions,8120.01,3468.4504
id_invicrot1_area_right_precuneusdktcortex,13202.886,4107.8154
id_invicrot1_thk_left_isthmus_cingulatedktregions,1.4879593,0.819895
id_invicrot1_vol_right_rostral_anterior_cingulatedktcortex,6534.046,382.0003
id_invicrot1_vol_mtg_sn_snc_rightdeep_cit168,402108.1,16.000027
id_invicrot1_vol_mtg_vtr_vta_rightcit168,92.99997,16.875
id_invicrot1_thk_right_ventral_dcdktregions,2.9597003,1.3148365
id_invicrot1_thk_right_hippocampusdktregions,2.8365,1.1883198
id_invicrot1_vol_left_perirhinalmtl,5086.025,11.25
id_invicrot1_area_cerebellumtissues,30811.834,6951.16
id_invicrot1_thk_right_dg_ca3mtl,1.2387394,0.33877844
id_invicrot1_vol_bn_str_pu_leftcit168,8248.0205,2322.0
id_invicrot1_area_right_inferior_parietaldktregions,15147.814,4889.8613
id_invicrot1_area_right_superior_temporaldktcortex,15513.729,5605.48
id_invicrot1_thk_right_inferior_temporaldktcortex,1.8318558,0.7599802
id_invicrot1_thk_bn_str_pu_rightcit168,3.0664032,1.6864578
id_invicrot1_area_left_superior_frontaldktcortex,23139.643,8509.176
id_invicrot1_area_right_pars_opercularisdktcortex,6420.0737,1631.3129
id_invicrot1_thk_referenceregion_leftcit168,0.74539965,0.4332165
id_invicrot1_vol_inferior_fronto_occipital_rwmtracts_right,20621.111,7084.3364
id_invicrot1_area_left_hippocampusdktregions,2321.5808,340.17316
id_invicrot1_vol_corpus_callosumwmtracts_right,61759.332,21847.852
id_invicrot1_vol_left_superior_temporaldktregions,28311.84,10128.164
id_invicrot1_vol_left_supramarginaldktcortex,17095.969,3273.0
id_invicrot1_area_die_hth_leftcit168,1032.6132,452.13498
id_invicrot1_thk_right_pars_triangularisdktcortex,1.5843705,0.48919535
id_invicrot1_vol_die_hth_leftcit168,1585.9935,462.0
id_invicrot1_thk_left_middle_temporaldktregions,1.913986,1.1967694
id_invicrot1_vol_right_alecmtl,1775.9987,22.000051
id_invicrot1_area_left_postcentraldktregions,15147.49,6174.9775
id_invicrot1_vol_left_lateral_orbitofrontaldktregions,14893.028,4740.8203
id_invicrot1_vol_right_precentraldktregions,22500.043,8176.9927
id_invicrot1_randbasisprojpos09,9406.665,-55176.395
id_invicrot1_area_left_medial_orbitofrontaldktcortex,5289.4985,1661.5665
id_invicrot1_thk_left_cuneusdktcortex,1.2334788,0.47592458
id_invicrot1_vol_left_pars_opercularisdktregions,7770.0054,1047.0007
id_invicrot1_vol_bn_str_ca_leftdeep_cit168,7135.038,696.9997
id_invicrot1_area_bn_gp_gpi_leftdeep_cit168,721.61646,49.35476
id_invicrot1_vol_right_pars_opercularisdktcortex,7475.0176,1030.7999
id_invicrot1_thk_left_precuneusdktregions,1.6233696,1.0201304
id_invicrot1_thk_die_hth_rightcit168,1.777427,1.0192097
id_invicrot1_area_right_perirhinalmtl,2085.1484,58.707726
id_invicrot1_thk_parietal_rdktlobes,5.174774,2.5563643
id_invicrot1_thk_left_postcentraldktregions,1.4526812,0.98390955
id_invicrot1_area_mtg_rn_leftcit168,307.3483,120.15147
id_invicrot1_randbasisproj06,281.71542,-561.2757
id_invicrot1_vol_left_insuladktregions,9680.999,3399.3752
id_invicrot1_thk_right_cerebellum_exteriordktregions,5.6075096,3.1577957
